model_slug,model_name,model_creator_slug,prompt_length_type,median_output_speed_tokens_per_second,median_time_to_first_chunk_seconds,median_time_to_first_reasoning_chunk_seconds,median_estimated_total_seconds_for_100_output_tokens,median_time_to_first_answer_token_seconds,median_end_to_end_response_time_seconds
gpt-oss-120b,gpt-oss-120b (high),openai,long,292.282580289122,0.918732415000249,0.918732415000249,13.4439023357715,7.761425530757017,9.47209880969621
gpt-oss-120b,gpt-oss-120b (high),openai,medium,281.616443303894,0.530781504000004,0.530781504000004,13.7331983482142,7.632639536635505,9.408104044794381
gpt-oss-120b,gpt-oss-120b (high),openai,medium_coding,293.379265191574,0.511010530000021,0.511010530000021,6.02292619343951,7.328124884329112,9.032403472911385
gpt-oss-120b-low,gpt-oss-120b (low),openai,long,325.674213735483,0.978468549999889,0.978468549999889,1.53765419993732,7.119574955262993,8.65485155657877
gpt-oss-120b-low,gpt-oss-120b (low),openai,medium,315.835235595228,0.612287443000241,0.612287443000241,1.10510530546585,6.9447031287636385,8.527807050204487
gpt-oss-120b-low,gpt-oss-120b (low),openai,medium_coding,359.896133553553,0.522462235999996,0.522462235999996,0.990950538122982,6.079621131407794,7.468910855259744
gpt-oss-20b-low,gpt-oss-20B (low),openai,long,230.627802112356,0.933718021999994,0.933718021999994,1.5628554770825,9.605699377594108,11.773694716492637
gpt-oss-20b-low,gpt-oss-20B (low),openai,medium,267.704028781025,0.575929942000002,0.575929942000002,1.1808349956765,8.046867189776533,9.914601501720666
gpt-oss-20b-low,gpt-oss-20B (low),openai,medium_coding,255.617003938825,0.584716549999996,0.584716549999996,1.33089868498186,8.408922174750398,10.364973580937997
gpt-oss-20b,gpt-oss-20B (high),openai,long,229.39728113064,0.973177232000012,0.973177232000012,23.0417422533675,9.691676379603313,11.87130116650414
gpt-oss-20b,gpt-oss-20B (high),openai,medium,250.006526881332,0.579238655000154,0.579238655000154,24.2929369126849,8.579029800250211,10.578977586562726
gpt-oss-20b,gpt-oss-20B (high),openai,medium_coding,262.501337972267,0.587515952000103,0.587515952000103,8.18086837001674,8.206524736676462,10.111276932845552
gpt-5-4-mini-medium,GPT-5.4 mini (medium),openai,long,153.295142628606,5.99367610000081,,6.43496637215862,5.99367610000081,9.255358051733417
gpt-5-4-mini-medium,GPT-5.4 mini (medium),openai,medium,165.6228792995,5.7155641244999,,6.43047111196286,5.7155641244999,8.734470703800682
gpt-5-4-mini-medium,GPT-5.4 mini (medium),openai,medium_coding,204.675111038516,9.72684501749973,,10.2583443292498,9.72684501749973,12.169740968370423
gpt-5-4-mini-medium,GPT-5.4 mini (medium),openai,vision_single_image,134.097831500812,1.50892083849999,,2.34456040186182,1.50892083849999,5.237541908684651
gpt-5-5-non-reasoning,GPT-5.5 (Non-reasoning),openai,long,67.0237192631797,0.905729228500149,,2.47966685879152,0.905729228500149,8.365774798884978
gpt-5-5-non-reasoning,GPT-5.5 (Non-reasoning),openai,medium,60.6627303677447,0.922254158500209,,2.4923855530635,0.922254158500209,9.164547193596723
gpt-5-5-non-reasoning,GPT-5.5 (Non-reasoning),openai,medium_coding,106.741073842462,0.99712370150007,,1.93088044422243,0.99712370150007,5.6813561342554735
